"ID";"ModesOfTravel";"Population";"Margins";"RegionCharacteristics";"Periods";"TransportPerformance_1"
"1397";"A048584";"A048710";"MW00000";"PV30    ";"2020JJ00";"     3.7"
"1398";"A048584";"A048710";"MW00000";"PV30    ";"2021JJ00";"     3.8"
"1399";"A048584";"A048710";"MW00000";"PV30    ";"2022JJ00";"     4.7"
"1400";"A048584";"A048710";"MW00000";"PV31    ";"2018JJ00";"     2.6"
"1401";"A048584";"A048710";"MW00000";"PV31    ";"2019JJ00";"     2.5"
"1402";"A048584";"A048710";"MW00000";"PV31    ";"2020JJ00";"     1.6"
"1403";"A048584";"A048710";"MW00000";"PV31    ";"2021JJ00";"     1.6"
"1404";"A048584";"A048710";"MW00000";"PV31    ";"2022JJ00";"     2.0"
"1405";"A048584";"A048710";"MW00000";"1018850 ";"2018JJ00";"     7.4"
"1406";"A048584";"A048710";"MW00000";"1018850 ";"2019JJ00";"     6.8"
"1407";"A048584";"A048710";"MW00000";"1018850 ";"2020JJ00";"     5.4"
"1408";"A048584";"A048710";"MW00000";"1018850 ";"2021JJ00";"     6.5"
"1409";"A048584";"A048710";"MW00000";"1018850 ";"2022JJ00";"     7.1"
"1410";"A048584";"A048710";"MW00000";"1018905 ";"2018JJ00";"    11.5"
"1411";"A048584";"A048710";"MW00000";"1018905 ";"2019JJ00";"    12.1"
"1412";"A048584";"A048710";"MW00000";"1018905 ";"2020JJ00";"     7.7"
"1413";"A048584";"A048710";"MW00000";"1018905 ";"2021JJ00";"     9.6"
"1414";"A048584";"A048710";"MW00000";"1018905 ";"2022JJ00";"     9.7"
"1415";"A048584";"A048710";"MW00000";"1018955 ";"2018JJ00";"     6.2"
"1416";"A048584";"A048710";"MW00000";"1018955 ";"2019JJ00";"     6.6"
"1417";"A048584";"A048710";"MW00000";"1018955 ";"2020JJ00";"     4.5"
"1418";"A048584";"A048710";"MW00000";"1018955 ";"2021JJ00";"     4.9"
"1419";"A048584";"A048710";"MW00000";"1018955 ";"2022JJ00";"     5.5"
"1420";"A048584";"A048710";"MW00000";"1019005 ";"2018JJ00";"    10.1"
"1421";"A048584";"A048710";"MW00000";"1019005 ";"2019JJ00";"     9.8"
"1422";"A048584";"A048710";"MW00000";"1019005 ";"2020JJ00";"     5.9"
"1423";"A048584";"A048710";"MW00000";"1019005 ";"2021JJ00";"     6.9"
"1424";"A048584";"A048710";"MW00000";"1019005 ";"2022JJ00";"     8.1"
"1425";"A048584";"A048710";"MW00000";"1019052 ";"2018JJ00";"     3.4"
"1426";"A048584";"A048710";"MW00000";"1019052 ";"2019JJ00";"     3.7"
"1427";"A048584";"A048710";"MW00000";"1019052 ";"2020JJ00";"     2.3"
"1428";"A048584";"A048710";"MW00000";"1019052 ";"2021JJ00";"     2.3"
"1429";"A048584";"A048710";"MW00000";"1019052 ";"2022JJ00";"     2.3"
"1430";"A048584";"A048710";"MOG0095";"NL01    ";"2018JJ00";"    37.1"
"1431";"A048584";"A048710";"MOG0095";"NL01    ";"2019JJ00";"    37.1"
"1432";"A048584";"A048710";"MOG0095";"NL01    ";"2020JJ00";"    24.6"
"1433";"A048584";"A048710";"MOG0095";"NL01    ";"2021JJ00";"    28.9"
"1434";"A048584";"A048710";"MOG0095";"NL01    ";"2022JJ00";"    31.3"
"1435";"A048584";"A048710";"MOG0095";"LD01    ";"2018JJ00";"     4.2"
"1436";"A048584";"A048710";"MOG0095";"LD01    ";"2019JJ00";"     4.4"
"1437";"A048584";"A048710";"MOG0095";"LD01    ";"2020JJ00";"     2.6"
"1438";"A048584";"A048710";"MOG0095";"LD01    ";"2021JJ00";"     3.1"
"1439";"A048584";"A048710";"MOG0095";"LD01    ";"2022JJ00";"     3.2"
"1440";"A048584";"A048710";"MOG0095";"LD02    ";"2018JJ00";"     8.0"
"1441";"A048584";"A048710";"MOG0095";"LD02    ";"2019JJ00";"     7.6"
"1442";"A048584";"A048710";"MOG0095";"LD02    ";"2020JJ00";"     5.1"
"1443";"A048584";"A048710";"MOG0095";"LD02    ";"2021JJ00";"     6.2"
"1444";"A048584";"A048710";"MOG0095";"LD02    ";"2022JJ00";"     7.0"
"1445";"A048584";"A048710";"MOG0095";"LD03    ";"2018JJ00";"    15.9"
"1446";"A048584";"A048710";"MOG0095";"LD03    ";"2019JJ00";"    16.1"
"1447";"A048584";"A048710";"MOG0095";"LD03    ";"2020JJ00";"    11.0"
"1448";"A048584";"A048710";"MOG0095";"LD03    ";"2021JJ00";"    13.3"
"1449";"A048584";"A048710";"MOG0095";"LD03    ";"2022JJ00";"    13.7"
"1450";"A048584";"A048710";"MOG0095";"LD04    ";"2018JJ00";"     7.4"
"1451";"A048584";"A048710";"MOG0095";"LD04    ";"2019JJ00";"     7.1"
"1452";"A048584";"A048710";"MOG0095";"LD04    ";"2020JJ00";"     4.7"
"1453";"A048584";"A048710";"MOG0095";"LD04    ";"2021JJ00";"     4.9"
"1454";"A048584";"A048710";"MOG0095";"LD04    ";"2022JJ00";"     6.0"
"1455";"A048584";"A048710";"MOG0095";"PV20    ";"2018JJ00";"     1.2"
"1456";"A048584";"A048710";"MOG0095";"PV20    ";"2019JJ00";"     1.1"
"1457";"A048584";"A048710";"MOG0095";"PV20    ";"2020JJ00";"     0.7"
"1458";"A048584";"A048710";"MOG0095";"PV20    ";"2021JJ00";"     0.8"
"1459";"A048584";"A048710";"MOG0095";"PV20    ";"2022JJ00";"     1.0"
"1460";"A048584";"A048710";"MOG0095";"PV21    ";"2018JJ00";"     1.5"
"1461";"A048584";"A048710";"MOG0095";"PV21    ";"2019JJ00";"     1.7"
"1462";"A048584";"A048710";"MOG0095";"PV21    ";"2020JJ00";"     0.8"
"1463";"A048584";"A048710";"MOG0095";"PV21    ";"2021JJ00";"     1.1"
"1464";"A048584";"A048710";"MOG0095";"PV21    ";"2022JJ00";"     1.1"
"1465";"A048584";"A048710";"MOG0095";"PV22    ";"2018JJ00";"     1.1"
"1466";"A048584";"A048710";"MOG0095";"PV22    ";"2019JJ00";"     1.0"
"1467";"A048584";"A048710";"MOG0095";"PV22    ";"2020JJ00";"     0.7"
"1468";"A048584";"A048710";"MOG0095";"PV22    ";"2021JJ00";"     0.8"
"1469";"A048584";"A048710";"MOG0095";"PV22    ";"2022JJ00";"     0.8"
"1470";"A048584";"A048710";"MOG0095";"PV23    ";"2018JJ00";"     2.3"
"1471";"A048584";"A048710";"MOG0095";"PV23    ";"2019JJ00";"     2.4"
"1472";"A048584";"A048710";"MOG0095";"PV23    ";"2020JJ00";"     1.3"
"1473";"A048584";"A048710";"MOG0095";"PV23    ";"2021JJ00";"     1.6"
"1474";"A048584";"A048710";"MOG0095";"PV23    ";"2022JJ00";"     1.9"
"1475";"A048584";"A048710";"MOG0095";"PV24    ";"2018JJ00";"     0.8"
"1476";"A048584";"A048710";"MOG0095";"PV24    ";"2019JJ00";"     0.9"
"1477";"A048584";"A048710";"MOG0095";"PV24    ";"2020JJ00";"     0.6"
"1478";"A048584";"A048710";"MOG0095";"PV24    ";"2021JJ00";"     0.8"
"1479";"A048584";"A048710";"MOG0095";"PV24    ";"2022JJ00";"     0.9"
"1480";"A048584";"A048710";"MOG0095";"PV25    ";"2018JJ00";"     4.4"
"1481";"A048584";"A048710";"MOG0095";"PV25    ";"2019JJ00";"     3.8"
"1482";"A048584";"A048710";"MOG0095";"PV25    ";"2020JJ00";"     2.8"
"1483";"A048584";"A048710";"MOG0095";"PV25    ";"2021JJ00";"     3.3"
"1484";"A048584";"A048710";"MOG0095";"PV25    ";"2022JJ00";"     3.8"
"1485";"A048584";"A048710";"MOG0095";"PV26    ";"2018JJ00";"     2.6"
"1486";"A048584";"A048710";"MOG0095";"PV26    ";"2019JJ00";"     3.0"
"1487";"A048584";"A048710";"MOG0095";"PV26    ";"2020JJ00";"     1.8"
"1488";"A048584";"A048710";"MOG0095";"PV26    ";"2021JJ00";"     2.3"
"1489";"A048584";"A048710";"MOG0095";"PV26    ";"2022JJ00";"     2.5"
"1490";"A048584";"A048710";"MOG0095";"PV27    ";"2018JJ00";"     5.3"
"1491";"A048584";"A048710";"MOG0095";"PV27    ";"2019JJ00";"     4.6"
"1492";"A048584";"A048710";"MOG0095";"PV27    ";"2020JJ00";"     3.4"
"1493";"A048584";"A048710";"MOG0095";"PV27    ";"2021JJ00";"     4.2"
"1494";"A048584";"A048710";"MOG0095";"PV27    ";"2022JJ00";"     4.4"
"1495";"A048584";"A048710";"MOG0095";"PV28    ";"2018JJ00";"     6.5"
"1496";"A048584";"A048710";"MOG0095";"PV28    ";"2019JJ00";"     6.7"
"1497";"A048584";"A048710";"MOG0095";"PV28    ";"2020JJ00";"     4.6"
"1498";"A048584";"A048710";"MOG0095";"PV28    ";"2021JJ00";"     5.6"
"1499";"A048584";"A048710";"MOG0095";"PV28    ";"2022JJ00";"     5.5"
"1500";"A048584";"A048710";"MOG0095";"PV29    ";"2018JJ00";"     0.6"
"1501";"A048584";"A048710";"MOG0095";"PV29    ";"2019JJ00";"     0.7"
"1502";"A048584";"A048710";"MOG0095";"PV29    ";"2020JJ00";"     0.4"
"1503";"A048584";"A048710";"MOG0095";"PV29    ";"2021JJ00";"     0.5"
"1504";"A048584";"A048710";"MOG0095";"PV29    ";"2022JJ00";"     0.5"
"1505";"A048584";"A048710";"MOG0095";"PV30    ";"2018JJ00";"     5.0"
"1506";"A048584";"A048710";"MOG0095";"PV30    ";"2019JJ00";"     4.8"
"1507";"A048584";"A048710";"MOG0095";"PV30    ";"2020JJ00";"     3.3"
"1508";"A048584";"A048710";"MOG0095";"PV30    ";"2021JJ00";"     3.4"
"1509";"A048584";"A048710";"MOG0095";"PV30    ";"2022JJ00";"     4.1"
"1510";"A048584";"A048710";"MOG0095";"PV31    ";"2018JJ00";"     2.1"
"1511";"A048584";"A048710";"MOG0095";"PV31    ";"2019JJ00";"     2.1"
"1512";"A048584";"A048710";"MOG0095";"PV31    ";"2020JJ00";"     1.2"
"1513";"A048584";"A048710";"MOG0095";"PV31    ";"2021JJ00";"     1.3"
"1514";"A048584";"A048710";"MOG0095";"PV31    ";"2022JJ00";"     1.6"
"1515";"A048584";"A048710";"MOG0095";"1018850 ";"2018JJ00";"     6.7"
"1516";"A048584";"A048710";"MOG0095";"1018850 ";"2019JJ00";"     6.1"
"1517";"A048584";"A048710";"MOG0095";"1018850 ";"2020JJ00";"     4.9"
"1518";"A048584";"A048710";"MOG0095";"1018850 ";"2021JJ00";"     5.9"
"1519";"A048584";"A048710";"MOG0095";"1018850 ";"2022JJ00";"     6.4"
"1520";"A048584";"A048710";"MOG0095";"1018905 ";"2018JJ00";"    10.6"
"1521";"A048584";"A048710";"MOG0095";"1018905 ";"2019JJ00";"    11.1"
"1522";"A048584";"A048710";"MOG0095";"1018905 ";"2020JJ00";"     7.0"
"1523";"A048584";"A048710";"MOG0095";"1018905 ";"2021JJ00";"     8.8"
"1524";"A048584";"A048710";"MOG0095";"1018905 ";"2022JJ00";"     8.9"
"1525";"A048584";"A048710";"MOG0095";"1018955 ";"2018JJ00";"     5.6"
"1526";"A048584";"A048710";"MOG0095";"1018955 ";"2019JJ00";"     5.8"
"1527";"A048584";"A048710";"MOG0095";"1018955 ";"2020JJ00";"     3.9"
"1528";"A048584";"A048710";"MOG0095";"1018955 ";"2021JJ00";"     4.3"
"1529";"A048584";"A048710";"MOG0095";"1018955 ";"2022JJ00";"     5.0"
"1530";"A048584";"A048710";"MOG0095";"1019005 ";"2018JJ00";"     9.2"
"1531";"A048584";"A048710";"MOG0095";"1019005 ";"2019JJ00";"     8.8"
"1532";"A048584";"A048710";"MOG0095";"1019005 ";"2020JJ00";"     5.3"
"1533";"A048584";"A048710";"MOG0095";"1019005 ";"2021JJ00";"     6.2"
"1534";"A048584";"A048710";"MOG0095";"1019005 ";"2022JJ00";"     7.4"
"1535";"A048584";"A048710";"MOG0095";"1019052 ";"2018JJ00";"     2.9"
"1536";"A048584";"A048710";"MOG0095";"1019052 ";"2019JJ00";"     3.0"
"1537";"A048584";"A048710";"MOG0095";"1019052 ";"2020JJ00";"     1.9"
"1538";"A048584";"A048710";"MOG0095";"1019052 ";"2021JJ00";"     1.9"
"1539";"A048584";"A048710";"MOG0095";"1019052 ";"2022JJ00";"     2.0"
"1540";"A048584";"A048710";"MBG0095";"NL01    ";"2018JJ00";"    40.4"
"1541";"A048584";"A048710";"MBG0095";"NL01    ";"2019JJ00";"    40.9"
"1542";"A048584";"A048710";"MBG0095";"NL01    ";"2020JJ00";"    27.0"
"1543";"A048584";"A048710";"MBG0095";"NL01    ";"2021JJ00";"    31.5"
"1544";"A048584";"A048710";"MBG0095";"NL01    ";"2022JJ00";"    34.0"
"1545";"A048584";"A048710";"MBG0095";"LD01    ";"2018JJ00";"     5.4"
"1546";"A048584";"A048710";"MBG0095";"LD01    ";"2019JJ00";"     6.2"
"1547";"A048584";"A048710";"MBG0095";"LD01    ";"2020JJ00";"     3.4"
"1548";"A048584";"A048710";"MBG0095";"LD01    ";"2021JJ00";"     4.3"
"1549";"A048584";"A048710";"MBG0095";"LD01    ";"2022JJ00";"     4.4"
"1550";"A048584";"A048710";"MBG0095";"LD02    ";"2018JJ00";"     9.6"
"1551";"A048584";"A048710";"MBG0095";"LD02    ";"2019JJ00";"     9.2"
"1552";"A048584";"A048710";"MBG0095";"LD02    ";"2020JJ00";"     6.3"
"1553";"A048584";"A048710";"MBG0095";"LD02    ";"2021JJ00";"     7.5"
"1554";"A048584";"A048710";"MBG0095";"LD02    ";"2022JJ00";"     8.3"
"1555";"A048584";"A048710";"MBG0095";"LD03    ";"2018JJ00";"    18.1"
"1556";"A048584";"A048710";"MBG0095";"LD03    ";"2019JJ00";"    18.5"
"1557";"A048584";"A048710";"MBG0095";"LD03    ";"2020JJ00";"    12.6"
"1558";"A048584";"A048710";"MBG0095";"LD03    ";"2021JJ00";"    15.0"
"1559";"A048584";"A048710";"MBG0095";"LD03    ";"2022JJ00";"    15.4"
"1560";"A048584";"A048710";"MBG0095";"LD04    ";"2018JJ00";"     8.9"
"1561";"A048584";"A048710";"MBG0095";"LD04    ";"2019JJ00";"     8.8"
"1562";"A048584";"A048710";"MBG0095";"LD04    ";"2020JJ00";"     5.9"
"1563";"A048584";"A048710";"MBG0095";"LD04    ";"2021JJ00";"     6.0"
"1564";"A048584";"A048710";"MBG0095";"LD04    ";"2022JJ00";"     7.3"
"1565";"A048584";"A048710";"MBG0095";"PV20    ";"2018JJ00";"     1.9"
"1566";"A048584";"A048710";"MBG0095";"PV20    ";"2019JJ00";"     2.1"
"1567";"A048584";"A048710";"MBG0095";"PV20    ";"2020JJ00";"     1.2"
"1568";"A048584";"A048710";"MBG0095";"PV20    ";"2021JJ00";"     1.5"
"1569";"A048584";"A048710";"MBG0095";"PV20    ";"2022JJ00";"     1.7"
"1570";"A048584";"A048710";"MBG0095";"PV21    ";"2018JJ00";"     2.3"
"1571";"A048584";"A048710";"MBG0095";"PV21    ";"2019JJ00";"     2.9"
"1572";"A048584";"A048710";"MBG0095";"PV21    ";"2020JJ00";"     1.3"
"1573";"A048584";"A048710";"MBG0095";"PV21    ";"2021JJ00";"     1.9"
"1574";"A048584";"A048710";"MBG0095";"PV21    ";"2022JJ00";"     1.9"
"1575";"A048584";"A048710";"MBG0095";"PV22    ";"2018JJ00";"     1.7"
"1576";"A048584";"A048710";"MBG0095";"PV22    ";"2019JJ00";"     1.8"
"1577";"A048584";"A048710";"MBG0095";"PV22    ";"2020JJ00";"     1.3"
"1578";"A048584";"A048710";"MBG0095";"PV22    ";"2021JJ00";"     1.4"
"1579";"A048584";"A048710";"MBG0095";"PV22    ";"2022JJ00";"     1.2"
"1580";"A048584";"A048710";"MBG0095";"PV23    ";"2018JJ00";"     3.2"
"1581";"A048584";"A048710";"MBG0095";"PV23    ";"2019JJ00";"     3.5"
"1582";"A048584";"A048710";"MBG0095";"PV23    ";"2020JJ00";"     2.0"
"1583";"A048584";"A048710";"MBG0095";"PV23    ";"2021JJ00";"     2.3"
"1584";"A048584";"A048710";"MBG0095";"PV23    ";"2022JJ00";"     2.6"
"1585";"A048584";"A048710";"MBG0095";"PV24    ";"2018JJ00";"     1.2"
"1586";"A048584";"A048710";"MBG0095";"PV24    ";"2019JJ00";"     1.4"
"1587";"A048584";"A048710";"MBG0095";"PV24    ";"2020JJ00";"     1.0"
"1588";"A048584";"A048710";"MBG0095";"PV24    ";"2021JJ00";"     1.3"
"1589";"A048584";"A048710";"MBG0095";"PV24    ";"2022JJ00";"     1.4"
"1590";"A048584";"A048710";"MBG0095";"PV25    ";"2018JJ00";"     5.6"
"1591";"A048584";"A048710";"MBG0095";"PV25    ";"2019JJ00";"     4.9"
"1592";"A048584";"A048710";"MBG0095";"PV25    ";"2020JJ00";"     3.8"
"1593";"A048584";"A048710";"MBG0095";"PV25    ";"2021JJ00";"     4.3"
"1594";"A048584";"A048710";"MBG0095";"PV25    ";"2022JJ00";"     4.8"
"1595";"A048584";"A048710";"MBG0095";"PV26    ";"2018JJ00";"     3.5"
"1596";"A048584";"A048710";"MBG0095";"PV26    ";"2019JJ00";"     4.1"
"1597";"A048584";"A048710";"MBG0095";"PV26    ";"2020JJ00";"     2.3"
"1598";"A048584";"A048710";"MBG0095";"PV26    ";"2021JJ00";"     2.9"
"1599";"A048584";"A048710";"MBG0095";"PV26    ";"2022JJ00";"     3.1"
"1600";"A048584";"A048710";"MBG0095";"PV27    ";"2018JJ00";"     6.8"
"1601";"A048584";"A048710";"MBG0095";"PV27    ";"2019JJ00";"     5.8"
"1602";"A048584";"A048710";"MBG0095";"PV27    ";"2020JJ00";"     4.4"
"1603";"A048584";"A048710";"MBG0095";"PV27    ";"2021JJ00";"     5.2"
"1604";"A048584";"A048710";"MBG0095";"PV27    ";"2022JJ00";"     5.6"
"1605";"A048584";"A048710";"MBG0095";"PV28    ";"2018JJ00";"     8.0"
"1606";"A048584";"A048710";"MBG0095";"PV28    ";"2019JJ00";"     8.2"
"1607";"A048584";"A048710";"MBG0095";"PV28    ";"2020JJ00";"     5.7"
"1608";"A048584";"A048710";"MBG0095";"PV28    ";"2021JJ00";"     6.7"
"1609";"A048584";"A048710";"MBG0095";"PV28    ";"2022JJ00";"     6.6"
"1610";"A048584";"A048710";"MBG0095";"PV29    ";"2018JJ00";"     0.9"
"1611";"A048584";"A048710";"MBG0095";"PV29    ";"2019JJ00";"     1.5"
"1612";"A048584";"A048710";"MBG0095";"PV29    ";"2020JJ00";"     1.0"
"1613";"A048584";"A048710";"MBG0095";"PV29    ";"2021JJ00";"     0.9"
"1614";"A048584";"A048710";"MBG0095";"PV29    ";"2022JJ00";"     0.8"
"1615";"A048584";"A048710";"MBG0095";"PV30    ";"2018JJ00";"     6.1"
"1616";"A048584";"A048710";"MBG0095";"PV30    ";"2019JJ00";"     6.1"
"1617";"A048584";"A048710";"MBG0095";"PV30    ";"2020JJ00";"     4.2"
"1618";"A048584";"A048710";"MBG0095";"PV30    ";"2021JJ00";"     4.3"
"1619";"A048584";"A048710";"MBG0095";"PV30    ";"2022JJ00";"     5.2"
"1620";"A048584";"A048710";"MBG0095";"PV31    ";"2018JJ00";"     3.0"
"1621";"A048584";"A048710";"MBG0095";"PV31    ";"2019JJ00";"     2.9"
"1622";"A048584";"A048710";"MBG0095";"PV31    ";"2020JJ00";"     1.9"
"1623";"A048584";"A048710";"MBG0095";"PV31    ";"2021JJ00";"     1.9"
"1624";"A048584";"A048710";"MBG0095";"PV31    ";"2022JJ00";"     2.3"
"1625";"A048584";"A048710";"MBG0095";"1018850 ";"2018JJ00";"     8.2"
"1626";"A048584";"A048710";"MBG0095";"1018850 ";"2019JJ00";"     7.5"
"1627";"A048584";"A048710";"MBG0095";"1018850 ";"2020JJ00";"     6.0"
"1628";"A048584";"A048710";"MBG0095";"1018850 ";"2021JJ00";"     7.1"
"1629";"A048584";"A048710";"MBG0095";"1018850 ";"2022JJ00";"     7.8"
"1630";"A048584";"A048710";"MBG0095";"1018905 ";"2018JJ00";"    12.5"
"1631";"A048584";"A048710";"MBG0095";"1018905 ";"2019JJ00";"    13.2"
"1632";"A048584";"A048710";"MBG0095";"1018905 ";"2020JJ00";"     8.3"
"1633";"A048584";"A048710";"MBG0095";"1018905 ";"2021JJ00";"    10.4"
"1634";"A048584";"A048710";"MBG0095";"1018905 ";"2022JJ00";"    10.4"
"1635";"A048584";"A048710";"MBG0095";"1018955 ";"2018JJ00";"     6.8"
"1636";"A048584";"A048710";"MBG0095";"1018955 ";"2019JJ00";"     7.4"
"1637";"A048584";"A048710";"MBG0095";"1018955 ";"2020JJ00";"     5.0"
"1638";"A048584";"A048710";"MBG0095";"1018955 ";"2021JJ00";"     5.5"
"1639";"A048584";"A048710";"MBG0095";"1018955 ";"2022JJ00";"     6.1"
"1640";"A048584";"A048710";"MBG0095";"1019005 ";"2018JJ00";"    11.0"
"1641";"A048584";"A048710";"MBG0095";"1019005 ";"2019JJ00";"    10.8"
"1642";"A048584";"A048710";"MBG0095";"1019005 ";"2020JJ00";"     6.5"
"1643";"A048584";"A048710";"MBG0095";"1019005 ";"2021JJ00";"     7.5"
"1644";"A048584";"A048710";"MBG0095";"1019005 ";"2022JJ00";"     8.8"
"1645";"A048584";"A048710";"MBG0095";"1019052 ";"2018JJ00";"     3.9"
"1646";"A048584";"A048710";"MBG0095";"1019052 ";"2019JJ00";"     4.3"
"1647";"A048584";"A048710";"MBG0095";"1019052 ";"2020JJ00";"     2.7"
"1648";"A048584";"A048710";"MBG0095";"1019052 ";"2021JJ00";"     2.7"
"1649";"A048584";"A048710";"MBG0095";"1019052 ";"2022JJ00";"     2.6"
"1650";"A048584";"A048709";"MW00000";"NL01    ";"2018JJ00";"    33.4"
"1651";"A048584";"A048709";"MW00000";"NL01    ";"2019JJ00";"    34.0"
"1652";"A048584";"A048709";"MW00000";"NL01    ";"2020JJ00";"    22.0"
"1653";"A048584";"A048709";"MW00000";"NL01    ";"2021JJ00";"    26.0"
"1654";"A048584";"A048709";"MW00000";"NL01    ";"2022JJ00";"    28.3"
"1655";"A048584";"A048709";"MW00000";"LD01    ";"2018JJ00";"     4.3"
"1656";"A048584";"A048709";"MW00000";"LD01    ";"2019JJ00";"     4.8"
"1657";"A048584";"A048709";"MW00000";"LD01    ";"2020JJ00";"     2.6"
"1658";"A048584";"A048709";"MW00000";"LD01    ";"2021JJ00";"     3.1"
"1659";"A048584";"A048709";"MW00000";"LD01    ";"2022JJ00";"     3.5"
"1660";"A048584";"A048709";"MW00000";"LD02    ";"2018JJ00";"     7.3"
"1661";"A048584";"A048709";"MW00000";"LD02    ";"2019JJ00";"     7.2"
"1662";"A048584";"A048709";"MW00000";"LD02    ";"2020JJ00";"     4.7"
"1663";"A048584";"A048709";"MW00000";"LD02    ";"2021JJ00";"     5.9"
"1664";"A048584";"A048709";"MW00000";"LD02    ";"2022JJ00";"     6.5"
"1665";"A048584";"A048709";"MW00000";"LD03    ";"2018JJ00";"    14.7"
"1666";"A048584";"A048709";"MW00000";"LD03    ";"2019JJ00";"    15.2"
"1667";"A048584";"A048709";"MW00000";"LD03    ";"2020JJ00";"    10.1"
"1668";"A048584";"A048709";"MW00000";"LD03    ";"2021JJ00";"    12.1"
"1669";"A048584";"A048709";"MW00000";"LD03    ";"2022JJ00";"    12.6"
"1670";"A048584";"A048709";"MW00000";"LD04    ";"2018JJ00";"     7.2"
"1671";"A048584";"A048709";"MW00000";"LD04    ";"2019JJ00";"     6.8"
"1672";"A048584";"A048709";"MW00000";"LD04    ";"2020JJ00";"     4.5"
"1673";"A048584";"A048709";"MW00000";"LD04    ";"2021JJ00";"     4.9"
"1674";"A048584";"A048709";"MW00000";"LD04    ";"2022JJ00";"     5.7"
"1675";"A048584";"A048709";"MW00000";"PV20    ";"2018JJ00";"     1.4"
"1676";"A048584";"A048709";"MW00000";"PV20    ";"2019JJ00";"     1.5"
"1677";"A048584";"A048709";"MW00000";"PV20    ";"2020JJ00";"     0.9"
"1678";"A048584";"A048709";"MW00000";"PV20    ";"2021JJ00";"     1.0"
"1679";"A048584";"A048709";"MW00000";"PV20    ";"2022JJ00";"     1.2"
"1680";"A048584";"A048709";"MW00000";"PV21    ";"2018JJ00";"     1.7"
"1681";"A048584";"A048709";"MW00000";"PV21    ";"2019JJ00";"     2.1"
"1682";"A048584";"A048709";"MW00000";"PV21    ";"2020JJ00";"     0.9"
"1683";"A048584";"A048709";"MW00000";"PV21    ";"2021JJ00";"     1.2"
"1684";"A048584";"A048709";"MW00000";"PV21    ";"2022JJ00";"     1.4"
"1685";"A048584";"A048709";"MW00000";"PV22    ";"2018JJ00";"     1.2"
"1686";"A048584";"A048709";"MW00000";"PV22    ";"2019JJ00";"     1.3"
"1687";"A048584";"A048709";"MW00000";"PV22    ";"2020JJ00";"     0.9"
"1688";"A048584";"A048709";"MW00000";"PV22    ";"2021JJ00";"     0.9"
"1689";"A048584";"A048709";"MW00000";"PV22    ";"2022JJ00";"     0.9"
"1690";"A048584";"A048709";"MW00000";"PV23    ";"2018JJ00";"     2.4"
"1691";"A048584";"A048709";"MW00000";"PV23    ";"2019JJ00";"     2.5"
"1692";"A048584";"A048709";"MW00000";"PV23    ";"2020JJ00";"     1.3"
"1693";"A048584";"A048709";"MW00000";"PV23    ";"2021JJ00";"     1.7"
"1694";"A048584";"A048709";"MW00000";"PV23    ";"2022JJ00";"     1.8"
"1695";"A048584";"A048709";"MW00000";"PV24    ";"2018JJ00";"     0.9"
"1696";"A048584";"A048709";"MW00000";"PV24    ";"2019JJ00";"     1.0"
"1697";"A048584";"A048709";"MW00000";"PV24    ";"2020JJ00";"     0.6"
"1698";"A048584";"A048709";"MW00000";"PV24    ";"2021JJ00";"     0.9"
"1699";"A048584";"A048709";"MW00000";"PV24    ";"2022JJ00";"     0.9"
"1700";"A048584";"A048709";"MW00000";"PV25    ";"2018JJ00";"     4.1"
"1701";"A048584";"A048709";"MW00000";"PV25    ";"2019JJ00";"     3.7"
"1702";"A048584";"A048709";"MW00000";"PV25    ";"2020JJ00";"     2.8"
"1703";"A048584";"A048709";"MW00000";"PV25    ";"2021JJ00";"     3.3"
"1704";"A048584";"A048709";"MW00000";"PV25    ";"2022JJ00";"     3.8"
"1705";"A048584";"A048709";"MW00000";"PV26    ";"2018JJ00";"     2.5"
"1706";"A048584";"A048709";"MW00000";"PV26    ";"2019JJ00";"     3.1"
"1707";"A048584";"A048709";"MW00000";"PV26    ";"2020JJ00";"     1.7"
"1708";"A048584";"A048709";"MW00000";"PV26    ";"2021JJ00";"     2.2"
"1709";"A048584";"A048709";"MW00000";"PV26    ";"2022JJ00";"     2.4"
"1710";"A048584";"A048709";"MW00000";"PV27    ";"2018JJ00";"     5.4"
"1711";"A048584";"A048709";"MW00000";"PV27    ";"2019JJ00";"     4.5"
"1712";"A048584";"A048709";"MW00000";"PV27    ";"2020JJ00";"     3.4"
"1713";"A048584";"A048709";"MW00000";"PV27    ";"2021JJ00";"     4.0"
"1714";"A048584";"A048709";"MW00000";"PV27    ";"2022JJ00";"     4.4"
"1715";"A048584";"A048709";"MW00000";"PV28    ";"2018JJ00";"     6.1"
"1716";"A048584";"A048709";"MW00000";"PV28    ";"2019JJ00";"     6.6"
"1717";"A048584";"A048709";"MW00000";"PV28    ";"2020JJ00";"     4.4"
"1718";"A048584";"A048709";"MW00000";"PV28    ";"2021JJ00";"     5.3"
"1719";"A048584";"A048709";"MW00000";"PV28    ";"2022JJ00";"     5.3"
"1720";"A048584";"A048709";"MW00000";"PV29    ";"2018JJ00";"     0.6"
"1721";"A048584";"A048709";"MW00000";"PV29    ";"2019JJ00";"     0.9"
"1722";"A048584";"A048709";"MW00000";"PV29    ";"2020JJ00";"     0.6"
