"ID";"ModesOfTravel";"Population";"Margins";"RegionCharacteristics";"Periods";"TransportPerformance_1"
"67";"T001093";"A048710";"MW00000";"PV28    ";"2020JJ00";"    29.3"
"68";"T001093";"A048710";"MW00000";"PV28    ";"2021JJ00";"    32.8"
"69";"T001093";"A048710";"MW00000";"PV28    ";"2022JJ00";"    35.0"
"70";"T001093";"A048710";"MW00000";"PV29    ";"2018JJ00";"     4.4"
"71";"T001093";"A048710";"MW00000";"PV29    ";"2019JJ00";"     5.0"
"72";"T001093";"A048710";"MW00000";"PV29    ";"2020JJ00";"     3.8"
"73";"T001093";"A048710";"MW00000";"PV29    ";"2021JJ00";"     4.4"
"74";"T001093";"A048710";"MW00000";"PV29    ";"2022JJ00";"     4.4"
"75";"T001093";"A048710";"MW00000";"PV30    ";"2018JJ00";"    32.2"
"76";"T001093";"A048710";"MW00000";"PV30    ";"2019JJ00";"    32.0"
"77";"T001093";"A048710";"MW00000";"PV30    ";"2020JJ00";"    22.2"
"78";"T001093";"A048710";"MW00000";"PV30    ";"2021JJ00";"    24.2"
"79";"T001093";"A048710";"MW00000";"PV30    ";"2022JJ00";"    28.2"
"80";"T001093";"A048710";"MW00000";"PV31    ";"2018JJ00";"    12.9"
"81";"T001093";"A048710";"MW00000";"PV31    ";"2019JJ00";"    12.4"
"82";"T001093";"A048710";"MW00000";"PV31    ";"2020JJ00";"     9.4"
"83";"T001093";"A048710";"MW00000";"PV31    ";"2021JJ00";"     9.9"
"84";"T001093";"A048710";"MW00000";"PV31    ";"2022JJ00";"    11.2"
"85";"T001093";"A048710";"MW00000";"1018850 ";"2018JJ00";"    46.8"
"86";"T001093";"A048710";"MW00000";"1018850 ";"2019JJ00";"    46.2"
"87";"T001093";"A048710";"MW00000";"1018850 ";"2020JJ00";"    31.4"
"88";"T001093";"A048710";"MW00000";"1018850 ";"2021JJ00";"    36.3"
"89";"T001093";"A048710";"MW00000";"1018850 ";"2022JJ00";"    40.9"
"90";"T001093";"A048710";"MW00000";"1018905 ";"2018JJ00";"    66.1"
"91";"T001093";"A048710";"MW00000";"1018905 ";"2019JJ00";"    66.6"
"92";"T001093";"A048710";"MW00000";"1018905 ";"2020JJ00";"    46.1"
"93";"T001093";"A048710";"MW00000";"1018905 ";"2021JJ00";"    50.8"
"94";"T001093";"A048710";"MW00000";"1018905 ";"2022JJ00";"    56.3"
"95";"T001093";"A048710";"MW00000";"1018955 ";"2018JJ00";"    34.7"
"96";"T001093";"A048710";"MW00000";"1018955 ";"2019JJ00";"    35.6"
"97";"T001093";"A048710";"MW00000";"1018955 ";"2020JJ00";"    24.6"
"98";"T001093";"A048710";"MW00000";"1018955 ";"2021JJ00";"    25.6"
"99";"T001093";"A048710";"MW00000";"1018955 ";"2022JJ00";"    30.9"
"100";"T001093";"A048710";"MW00000";"1019005 ";"2018JJ00";"    51.9"
"101";"T001093";"A048710";"MW00000";"1019005 ";"2019JJ00";"    50.6"
"102";"T001093";"A048710";"MW00000";"1019005 ";"2020JJ00";"    35.7"
"103";"T001093";"A048710";"MW00000";"1019005 ";"2021JJ00";"    40.7"
"104";"T001093";"A048710";"MW00000";"1019005 ";"2022JJ00";"    44.3"
"105";"T001093";"A048710";"MW00000";"1019052 ";"2018JJ00";"    18.7"
"106";"T001093";"A048710";"MW00000";"1019052 ";"2019JJ00";"    20.0"
"107";"T001093";"A048710";"MW00000";"1019052 ";"2020JJ00";"    14.2"
"108";"T001093";"A048710";"MW00000";"1019052 ";"2021JJ00";"    14.9"
"109";"T001093";"A048710";"MW00000";"1019052 ";"2022JJ00";"    14.6"
"110";"T001093";"A048710";"MOG0095";"NL01    ";"2018JJ00";"   214.6"
"111";"T001093";"A048710";"MOG0095";"NL01    ";"2019JJ00";"   215.0"
"112";"T001093";"A048710";"MOG0095";"NL01    ";"2020JJ00";"   149.4"
"113";"T001093";"A048710";"MOG0095";"NL01    ";"2021JJ00";"   165.5"
"114";"T001093";"A048710";"MOG0095";"NL01    ";"2022JJ00";"   183.9"
"115";"T001093";"A048710";"MOG0095";"LD01    ";"2018JJ00";"    23.6"
"116";"T001093";"A048710";"MOG0095";"LD01    ";"2019JJ00";"    23.4"
"117";"T001093";"A048710";"MOG0095";"LD01    ";"2020JJ00";"    16.0"
"118";"T001093";"A048710";"MOG0095";"LD01    ";"2021JJ00";"    18.2"
"119";"T001093";"A048710";"MOG0095";"LD01    ";"2022JJ00";"    20.2"
"120";"T001093";"A048710";"MOG0095";"LD02    ";"2018JJ00";"    47.5"
"121";"T001093";"A048710";"MOG0095";"LD02    ";"2019JJ00";"    47.7"
"122";"T001093";"A048710";"MOG0095";"LD02    ";"2020JJ00";"    33.6"
"123";"T001093";"A048710";"MOG0095";"LD02    ";"2021JJ00";"    37.2"
"124";"T001093";"A048710";"MOG0095";"LD02    ";"2022JJ00";"    41.5"
"125";"T001093";"A048710";"MOG0095";"LD03    ";"2018JJ00";"    96.3"
"126";"T001093";"A048710";"MOG0095";"LD03    ";"2019JJ00";"    97.0"
"127";"T001093";"A048710";"MOG0095";"LD03    ";"2020JJ00";"    66.6"
"128";"T001093";"A048710";"MOG0095";"LD03    ";"2021JJ00";"    74.4"
"129";"T001093";"A048710";"MOG0095";"LD03    ";"2022JJ00";"    80.9"
"130";"T001093";"A048710";"MOG0095";"LD04    ";"2018JJ00";"    43.4"
"131";"T001093";"A048710";"MOG0095";"LD04    ";"2019JJ00";"    42.6"
"132";"T001093";"A048710";"MOG0095";"LD04    ";"2020JJ00";"    30.2"
"133";"T001093";"A048710";"MOG0095";"LD04    ";"2021JJ00";"    32.7"
"134";"T001093";"A048710";"MOG0095";"LD04    ";"2022JJ00";"    37.8"
"135";"T001093";"A048710";"MOG0095";"PV20    ";"2018JJ00";"     7.0"
"136";"T001093";"A048710";"MOG0095";"PV20    ";"2019JJ00";"     7.1"
"137";"T001093";"A048710";"MOG0095";"PV20    ";"2020JJ00";"     4.8"
"138";"T001093";"A048710";"MOG0095";"PV20    ";"2021JJ00";"     5.6"
"139";"T001093";"A048710";"MOG0095";"PV20    ";"2022JJ00";"     6.2"
"140";"T001093";"A048710";"MOG0095";"PV21    ";"2018JJ00";"     8.7"
"141";"T001093";"A048710";"MOG0095";"PV21    ";"2019JJ00";"     8.9"
"142";"T001093";"A048710";"MOG0095";"PV21    ";"2020JJ00";"     6.1"
"143";"T001093";"A048710";"MOG0095";"PV21    ";"2021JJ00";"     6.7"
"144";"T001093";"A048710";"MOG0095";"PV21    ";"2022JJ00";"     7.6"
"145";"T001093";"A048710";"MOG0095";"PV22    ";"2018JJ00";"     6.8"
"146";"T001093";"A048710";"MOG0095";"PV22    ";"2019JJ00";"     6.2"
"147";"T001093";"A048710";"MOG0095";"PV22    ";"2020JJ00";"     4.3"
"148";"T001093";"A048710";"MOG0095";"PV22    ";"2021JJ00";"     5.0"
"149";"T001093";"A048710";"MOG0095";"PV22    ";"2022JJ00";"     5.4"
"150";"T001093";"A048710";"MOG0095";"PV23    ";"2018JJ00";"    14.5"
"151";"T001093";"A048710";"MOG0095";"PV23    ";"2019JJ00";"    14.5"
"152";"T001093";"A048710";"MOG0095";"PV23    ";"2020JJ00";"     9.7"
